# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:  -0.00 Bz:  -5.00 N:   8.00 Tilt:   0.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
  8.1000E+01  1.2267E+01  1.0170E+00 -1.7146E+01
  8.0500E+01  1.2267E+01  1.0170E+00 -1.7125E+01
  8.0000E+01  1.2267E+01  1.0170E+00 -1.7123E+01
  7.9500E+01  1.2267E+01  1.0170E+00 -1.7140E+01
  7.9000E+01  1.2267E+01  1.0170E+00 -1.7172E+01
  7.8500E+01  1.2267E+01  1.0170E+00 -1.7210E+01
  7.8000E+01  1.2267E+01  1.0170E+00 -1.7243E+01
  7.7500E+01  1.2267E+01  1.0170E+00 -1.7254E+01
  7.7000E+01  1.2267E+01  1.0170E+00 -1.7226E+01
  7.6500E+01  1.2267E+01  1.0170E+00 -1.7138E+01
  7.6000E+01  1.2267E+01  1.0170E+00 -1.6971E+01
  7.5500E+01  1.2267E+01  1.0170E+00 -1.6705E+01
  7.5000E+01  1.2267E+01  1.0170E+00 -1.6323E+01
  7.4500E+01  1.2267E+01  1.0170E+00 -1.5813E+01
  7.4000E+01  1.2267E+01  1.0170E+00 -1.5168E+01
  7.3500E+01  1.2267E+01  1.0170E+00 -1.4387E+01
  7.3000E+01  1.2267E+01  1.0170E+00 -1.3476E+01
  7.2500E+01  1.2267E+01  1.0170E+00 -1.2448E+01
  7.2000E+01  1.2267E+01  1.0170E+00 -1.1322E+01
  7.1500E+01  1.2267E+01  1.0170E+00 -1.0125E+01
  7.1000E+01  1.2267E+01  1.0170E+00 -8.8851E+00
  7.0500E+01  1.2267E+01  1.0170E+00 -7.6365E+00
  7.0000E+01  1.2267E+01  1.0170E+00 -6.4114E+00
  6.9500E+01  1.2267E+01  1.0170E+00 -5.2444E+00
  6.9000E+01  1.2267E+01  1.0170E+00 -4.1635E+00
  6.8500E+01  1.2267E+01  1.0170E+00 -3.1952E+00
  6.8000E+01  1.2267E+01  1.0170E+00 -2.3567E+00
  6.7500E+01  1.2267E+01  1.0170E+00 -1.6594E+00
  6.7000E+01  1.2267E+01  1.0170E+00 -1.1056E+00
  6.6500E+01  1.2267E+01  1.0170E+00 -6.8903E-01
  6.6000E+01  1.2267E+01  1.0170E+00 -3.9636E-01
  6.5500E+01  1.2267E+01  1.0170E+00 -2.0511E-01
  6.5000E+01  1.2267E+01  1.0170E+00 -9.0160E-02
  6.4500E+01  1.2267E+01  1.0170E+00 -1.8569E-02
  6.4000E+01  1.2267E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2267E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2267E+01  1.0170E+00  0.0000E+00
