# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:   3.54 Bz:  -3.54 N:   8.00 Tilt: -25.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
 -7.3000E+01  1.2000E+01  1.0170E+00 -9.4025E+00
 -7.3500E+01  1.2000E+01  1.0170E+00 -9.7311E+00
 -7.4000E+01  1.2000E+01  1.0170E+00 -9.8400E+00
 -7.4500E+01  1.2000E+01  1.0170E+00 -9.7237E+00
 -7.5000E+01  1.2000E+01  1.0170E+00 -9.3880E+00
 -7.5500E+01  1.2000E+01  1.0170E+00 -8.8474E+00
 -7.6000E+01  1.2000E+01  1.0170E+00 -8.1281E+00
 -7.6500E+01  1.2000E+01  1.0170E+00 -7.2590E+00
 -7.7000E+01  1.2000E+01  1.0170E+00 -6.2773E+00
 -7.7500E+01  1.2000E+01  1.0170E+00 -5.2173E+00
 -7.8000E+01  1.2000E+01  1.0170E+00 -4.1167E+00
 -7.8500E+01  1.2000E+01  1.0170E+00 -3.0062E+00
 -7.9000E+01  1.2000E+01  1.0170E+00 -1.9151E+00
 -7.9500E+01  1.2000E+01  1.0170E+00 -8.6477E-01
 -8.0000E+01  1.2000E+01  1.0170E+00  1.2798E-01
 -8.0500E+01  1.2000E+01  1.0170E+00  1.0532E+00
 -8.1000E+01  1.2000E+01  1.0170E+00  1.9055E+00
 -8.1500E+01  1.2000E+01  1.0170E+00  2.6841E+00
 -8.2000E+01  1.2000E+01  1.0170E+00  3.3908E+00
 -8.2500E+01  1.2000E+01  1.0170E+00  4.0292E+00
 -8.3000E+01  1.2000E+01  1.0170E+00  4.6030E+00
 -8.3500E+01  1.2000E+01  1.0170E+00  5.1156E+00
 -8.4000E+01  1.2000E+01  1.0170E+00  5.5686E+00
 -8.4500E+01  1.2000E+01  1.0170E+00  5.9625E+00
 -8.5000E+01  1.2000E+01  1.0170E+00  6.2959E+00
 -8.5500E+01  1.2000E+01  1.0170E+00  6.5662E+00
 -8.6000E+01  1.2000E+01  1.0170E+00  6.7705E+00
 -8.6500E+01  1.2000E+01  1.0170E+00  6.9056E+00
 -8.7000E+01  1.2000E+01  1.0170E+00  6.9698E+00
 -8.7500E+01  1.2000E+01  1.0170E+00  6.9627E+00
 -8.8000E+01  1.2000E+01  1.0170E+00  6.8858E+00
 -8.8500E+01  1.2000E+01  1.0170E+00  6.7435E+00
 -8.9000E+01  1.2000E+01  1.0170E+00  6.5416E+00
 -8.9500E+01  1.2000E+01  1.0170E+00  6.2887E+00
 -9.0000E+01  1.2000E+01  1.0170E+00  5.9935E+00
  9.0000E+01  1.2133E+01  1.0170E+00 -1.2788E+01
  8.9500E+01  1.2133E+01  1.0170E+00 -1.3782E+01
  8.9000E+01  1.2133E+01  1.0170E+00 -1.4637E+01
  8.8500E+01  1.2133E+01  1.0170E+00 -1.5386E+01
  8.8000E+01  1.2133E+01  1.0170E+00 -1.6074E+01
  8.7500E+01  1.2133E+01  1.0170E+00 -1.6743E+01
  8.7000E+01  1.2133E+01  1.0170E+00 -1.7443E+01
  8.6500E+01  1.2133E+01  1.0170E+00 -1.8211E+01
  8.6000E+01  1.2133E+01  1.0170E+00 -1.9077E+01
  8.5500E+01  1.2133E+01  1.0170E+00 -2.0058E+01
  8.5000E+01  1.2133E+01  1.0170E+00 -2.1154E+01
  8.4500E+01  1.2133E+01  1.0170E+00 -2.2351E+01
  8.4000E+01  1.2133E+01  1.0170E+00 -2.3616E+01
  8.3500E+01  1.2133E+01  1.0170E+00 -2.4907E+01
  8.3000E+01  1.2133E+01  1.0170E+00 -2.6171E+01
  8.2500E+01  1.2133E+01  1.0170E+00 -2.7346E+01
  8.2000E+01  1.2133E+01  1.0170E+00 -2.8374E+01
  8.1500E+01  1.2133E+01  1.0170E+00 -2.9195E+01
  8.1000E+01  1.2133E+01  1.0170E+00 -2.9763E+01
  8.0500E+01  1.2133E+01  1.0170E+00 -3.0037E+01
  8.0000E+01  1.2133E+01  1.0170E+00 -2.9993E+01
  7.9500E+01  1.2133E+01  1.0170E+00 -2.9621E+01
  7.9000E+01  1.2133E+01  1.0170E+00 -2.8927E+01
  7.8500E+01  1.2133E+01  1.0170E+00 -2.7931E+01
  7.8000E+01  1.2133E+01  1.0170E+00 -2.6664E+01
  7.7500E+01  1.2133E+01  1.0170E+00 -2.5170E+01
  7.7000E+01  1.2133E+01  1.0170E+00 -2.3495E+01
  7.6500E+01  1.2133E+01  1.0170E+00 -2.1694E+01
  7.6000E+01  1.2133E+01  1.0170E+00 -1.9817E+01
  7.5500E+01  1.2133E+01  1.0170E+00 -1.7918E+01
  7.5000E+01  1.2133E+01  1.0170E+00 -1.6038E+01
  7.4500E+01  1.2133E+01  1.0170E+00 -1.4218E+01
  7.4000E+01  1.2133E+01  1.0170E+00 -1.2487E+01
  7.3500E+01  1.2133E+01  1.0170E+00 -1.0870E+01
  7.3000E+01  1.2133E+01  1.0170E+00 -9.3810E+00
  7.2500E+01  1.2133E+01  1.0170E+00 -8.0286E+00
  7.2000E+01  1.2133E+01  1.0170E+00 -6.8149E+00
  7.1500E+01  1.2133E+01  1.0170E+00 -5.7373E+00
  7.1000E+01  1.2133E+01  1.0170E+00 -4.7900E+00
  7.0500E+01  1.2133E+01  1.0170E+00 -3.9642E+00
  7.0000E+01  1.2133E+01  1.0170E+00 -3.2503E+00
  6.9500E+01  1.2133E+01  1.0170E+00 -2.6372E+00
  6.9000E+01  1.2133E+01  1.0170E+00 -2.1144E+00
  6.8500E+01  1.2133E+01  1.0170E+00 -1.6709E+00
  6.8000E+01  1.2133E+01  1.0170E+00 -1.2961E+00
  6.7500E+01  1.2133E+01  1.0170E+00 -9.7946E-01
  6.7000E+01  1.2133E+01  1.0170E+00 -7.1083E-01
  6.6500E+01  1.2133E+01  1.0170E+00 -4.8007E-01
  6.6000E+01  1.2133E+01  1.0170E+00 -2.7695E-01
  6.5500E+01  1.2133E+01  1.0170E+00 -9.1639E-02
  6.5000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.4500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.9500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.9000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.8500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.8000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.7500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.7000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.6500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.6000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.5500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.5000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.4500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  5.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -5.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
